model,song_id,true_label,segment_count,segment_correct,segment_acc_in_song,majority_pred_label,majority_correct,prob_avg_pred_label,prob_avg_correct,prob_avg_confidence,mean_segment_confidence,prediction_sequence_by_slice
cnn,blues__blues.00000,blues,20,7,0.35,rock,0,rock,0,0.5580287128686905,0.6206072568893433,"blues,blues,rock,rock,blues,blues,rock,rock,rock,rock,rock,rock,rock,rock,rock,blues,rock,rock,blues,blues"
cnn,blues__blues.00001,blues,20,19,0.95,blues,1,blues,1,0.7580138236284256,0.7666102647781372,"blues,blues,blues,blues,blues,blues,blues,rock,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues"
cnn,blues__blues.00009,blues,20,9,0.45,blues,1,jazz,0,0.42785307914018633,0.677759051322937,"blues,rock,blues,blues,jazz,jazz,blues,jazz,blues,blues,jazz,blues,blues,jazz,classical,jazz,jazz,blues,jazz,jazz"
cnn,blues__blues.00011,blues,20,19,0.95,blues,1,blues,1,0.7437564134597778,0.7650409936904907,"jazz,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues"
cnn,blues__blues.00031,blues,20,20,1.0,blues,1,blues,1,0.8290938720107078,0.8290938138961792,"blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues"
cnn,blues__blues.00034,blues,20,19,0.95,blues,1,blues,1,0.8697667807340622,0.8818876147270203,"blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,rock,blues,blues,blues,blues,blues,blues"
cnn,blues__blues.00039,blues,20,20,1.0,blues,1,blues,1,0.8772846043109894,0.8772846460342407,"blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues"
cnn,blues__blues.00052,blues,20,20,1.0,blues,1,blues,1,0.9380925476551056,0.9380925893783569,"blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues"
cnn,blues__blues.00054,blues,20,12,0.6,blues,1,blues,1,0.4850479193031788,0.5911130309104919,"hiphop,blues,blues,hiphop,hiphop,blues,hiphop,blues,blues,hiphop,blues,blues,hiphop,hiphop,blues,hiphop,blues,blues,blues,blues"
cnn,blues__blues.00057,blues,20,20,1.0,blues,1,blues,1,0.8307294532656669,0.8307293653488159,"blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues"
cnn,blues__blues.00060,blues,20,20,1.0,blues,1,blues,1,0.806096437573433,0.8060963749885559,"blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues"
cnn,blues__blues.00066,blues,20,16,0.8,blues,1,blues,1,0.6402455620467663,0.6762004494667053,"blues,blues,blues,blues,blues,metal,reggae,hiphop,blues,blues,blues,blues,blues,blues,blues,jazz,blues,blues,blues,blues"
cnn,blues__blues.00068,blues,20,13,0.65,blues,1,blues,1,0.5673005919903517,0.7419348955154419,"jazz,jazz,blues,blues,blues,blues,blues,jazz,jazz,jazz,blues,blues,blues,blues,blues,blues,blues,blues,jazz,jazz"
cnn,blues__blues.00070,blues,20,9,0.45,blues,1,blues,1,0.3588854564353824,0.5747178792953491,"rock,rock,rock,rock,blues,blues,hiphop,hiphop,blues,reggae,reggae,blues,blues,blues,blues,blues,rock,blues,rock,rock"
cnn,blues__blues.00071,blues,20,20,1.0,blues,1,blues,1,0.8270717769861221,0.8270717859268188,"blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues"
cnn,classical__classical.00000,classical,20,20,1.0,classical,1,classical,1,0.8684591263532638,0.8684591054916382,"classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical"
cnn,classical__classical.00002,classical,20,20,1.0,classical,1,classical,1,0.7174451723694801,0.7174451947212219,"classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical"
cnn,classical__classical.00006,classical,20,20,1.0,classical,1,classical,1,0.8582150757312774,0.8582151532173157,"classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical"
cnn,classical__classical.00009,classical,20,20,1.0,classical,1,classical,1,0.8657439708709717,0.8657439947128296,"classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical"
cnn,classical__classical.00022,classical,20,20,1.0,classical,1,classical,1,0.9227999567985534,0.9227998852729797,"classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical"
cnn,classical__classical.00034,classical,20,20,1.0,classical,1,classical,1,0.9298148661851883,0.9298148155212402,"classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical"
cnn,classical__classical.00037,classical,20,18,0.9,classical,1,classical,1,0.7842754945158958,0.8408063054084778,"classical,classical,classical,classical,jazz,jazz,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical"
cnn,classical__classical.00039,classical,20,17,0.85,classical,1,classical,1,0.7706195622682571,0.8336257934570312,"classical,classical,classical,classical,classical,classical,classical,jazz,classical,classical,classical,jazz,jazz,classical,classical,classical,classical,classical,classical,classical"
cnn,classical__classical.00047,classical,20,20,1.0,classical,1,classical,1,0.9400937020778656,0.9400938153266907,"classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical"
cnn,classical__classical.00053,classical,20,20,1.0,classical,1,classical,1,0.8606299132108688,0.8606299161911011,"classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical"
cnn,classical__classical.00056,classical,20,18,0.9,classical,1,classical,1,0.5527809984982014,0.5630695819854736,"classical,classical,classical,classical,classical,classical,classical,classical,classical,pop,pop,classical,classical,classical,classical,classical,classical,classical,classical,classical"
cnn,classical__classical.00057,classical,20,16,0.8,classical,1,classical,1,0.700632132217288,0.7705598473548889,"jazz,jazz,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,jazz,jazz,classical,classical,classical,classical"
cnn,classical__classical.00065,classical,20,20,1.0,classical,1,classical,1,0.8809908747673034,0.8809908032417297,"classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical"
cnn,classical__classical.00082,classical,20,20,1.0,classical,1,classical,1,0.8781572043895721,0.8781571388244629,"classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical"
cnn,classical__classical.00091,classical,20,20,1.0,classical,1,classical,1,0.8830669790506362,0.8830669522285461,"classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical"
cnn,country__country.00001,country,20,18,0.9,country,1,country,1,0.5436375815421343,0.5935174226760864,"country,country,country,country,country,country,country,country,country,country,pop,metal,country,country,country,country,country,country,country,country"
cnn,country__country.00011,country,20,4,0.2,jazz,0,jazz,0,0.48327492172829806,0.6548106670379639,"jazz,jazz,jazz,jazz,jazz,jazz,pop,country,country,jazz,jazz,jazz,jazz,jazz,rock,jazz,jazz,jazz,country,country"
cnn,country__country.00013,country,20,8,0.4,rock,0,rock,0,0.45822016084566713,0.6987911462783813,"country,country,rock,country,rock,rock,rock,rock,country,country,rock,rock,rock,rock,rock,rock,disco,country,country,country"
