model,song_id,true_label,segment_count,segment_correct,segment_acc_in_song,majority_pred_label,majority_correct,prob_avg_pred_label,prob_avg_correct,prob_avg_confidence,mean_segment_confidence,prediction_sequence_by_slice
lstm,blues__blues.00000,blues,20,6,0.3,rock,0,rock,0,0.5453008837997914,0.7253255844116211,"blues,rock,rock,blues,blues,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,blues,blues,blues"
lstm,blues__blues.00001,blues,20,13,0.65,blues,1,blues,1,0.4383419819176197,0.6413134932518005,"blues,blues,rock,blues,blues,country,country,blues,blues,blues,blues,blues,blues,rock,blues,blues,blues,rock,rock,rock"
lstm,blues__blues.00009,blues,20,16,0.8,blues,1,blues,1,0.701275038626045,0.82105952501297,"blues,blues,blues,blues,blues,jazz,blues,blues,blues,blues,jazz,blues,blues,blues,jazz,jazz,blues,blues,blues,blues"
lstm,blues__blues.00011,blues,20,5,0.25,rock,0,blues,1,0.27352194879204034,0.4985691010951996,"blues,hiphop,rock,rock,jazz,jazz,blues,blues,hiphop,rock,hiphop,jazz,rock,rock,hiphop,hiphop,blues,blues,rock,rock"
lstm,blues__blues.00031,blues,20,20,1.0,blues,1,blues,1,0.9227997481822967,0.9227997660636902,"blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues"
lstm,blues__blues.00034,blues,20,19,0.95,blues,1,blues,1,0.8648601645603776,0.9047565460205078,"blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,reggae,blues,blues,blues,blues,blues,blues,blues"
lstm,blues__blues.00039,blues,20,20,1.0,blues,1,blues,1,0.882011604309082,0.8820117115974426,"blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues"
lstm,blues__blues.00052,blues,20,20,1.0,blues,1,blues,1,0.7577776864171029,0.7577776312828064,"blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues"
lstm,blues__blues.00054,blues,20,5,0.25,hiphop,0,rock,0,0.3588451437652111,0.5634921193122864,"rock,hiphop,hiphop,hiphop,hiphop,rock,hiphop,blues,hiphop,hiphop,rock,blues,blues,blues,blues,rock,hiphop,rock,rock,rock"
lstm,blues__blues.00057,blues,20,16,0.8,blues,1,blues,1,0.5117566507309675,0.5908595323562622,"rock,hiphop,blues,blues,blues,blues,blues,blues,blues,blues,blues,hiphop,hiphop,blues,blues,blues,blues,blues,blues,blues"
lstm,blues__blues.00060,blues,20,19,0.95,blues,1,blues,1,0.7313088096678257,0.7615219354629517,"blues,blues,blues,blues,rock,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues"
lstm,blues__blues.00066,blues,20,12,0.6,blues,1,blues,1,0.5452680302783847,0.6819426417350769,"blues,blues,rock,blues,blues,blues,blues,disco,disco,rock,rock,rock,rock,rock,blues,blues,blues,blues,blues,blues"
lstm,blues__blues.00068,blues,20,20,1.0,blues,1,blues,1,0.873986440896988,0.8739864230155945,"blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,blues"
lstm,blues__blues.00070,blues,20,8,0.4,rock,0,rock,0,0.3666360325179994,0.5724979639053345,"rock,rock,rock,rock,blues,blues,hiphop,hiphop,blues,rock,rock,rock,blues,blues,blues,blues,blues,rock,rock,rock"
lstm,blues__blues.00071,blues,20,16,0.8,blues,1,blues,1,0.7003439150750637,0.7590519189834595,"blues,blues,blues,blues,blues,blues,blues,blues,blues,blues,rock,rock,blues,blues,rock,rock,blues,blues,blues,blues"
lstm,classical__classical.00000,classical,20,20,1.0,classical,1,classical,1,0.9337601482868194,0.9337600469589233,"classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical"
lstm,classical__classical.00002,classical,20,20,1.0,classical,1,classical,1,0.9275500744581222,0.9275501370429993,"classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical"
lstm,classical__classical.00006,classical,20,20,1.0,classical,1,classical,1,0.9375227898359298,0.9375228881835938,"classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical"
lstm,classical__classical.00009,classical,20,20,1.0,classical,1,classical,1,0.9004867255687714,0.9004866480827332,"classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical"
lstm,classical__classical.00022,classical,20,20,1.0,classical,1,classical,1,0.9312124133110047,0.9312124252319336,"classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical"
lstm,classical__classical.00034,classical,20,20,1.0,classical,1,classical,1,0.9332025080919266,0.9332024455070496,"classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical"
lstm,classical__classical.00037,classical,20,20,1.0,classical,1,classical,1,0.9220030903816223,0.9220031499862671,"classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical"
lstm,classical__classical.00039,classical,20,20,1.0,classical,1,classical,1,0.8769132018089294,0.8769132494926453,"classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical"
lstm,classical__classical.00047,classical,20,20,1.0,classical,1,classical,1,0.9410023182630539,0.9410022497177124,"classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical"
lstm,classical__classical.00053,classical,20,20,1.0,classical,1,classical,1,0.8607964307069779,0.860796332359314,"classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical"
lstm,classical__classical.00056,classical,20,20,1.0,classical,1,classical,1,0.8968504190444946,0.8968504071235657,"classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical"
lstm,classical__classical.00057,classical,20,13,0.65,classical,1,classical,1,0.5721996247768402,0.6713165044784546,"reggae,classical,classical,classical,classical,classical,jazz,jazz,classical,classical,classical,classical,jazz,jazz,jazz,reggae,classical,classical,classical,classical"
lstm,classical__classical.00065,classical,20,20,1.0,classical,1,classical,1,0.8683352828025818,0.8683352470397949,"classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical"
lstm,classical__classical.00082,classical,20,20,1.0,classical,1,classical,1,0.9211907774209976,0.9211907386779785,"classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical"
lstm,classical__classical.00091,classical,20,20,1.0,classical,1,classical,1,0.9340973407030105,0.934097409248352,"classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical,classical"
lstm,country__country.00001,country,20,20,1.0,country,1,country,1,0.9340735614299774,0.9340736269950867,"country,country,country,country,country,country,country,country,country,country,country,country,country,country,country,country,country,country,country,country"
lstm,country__country.00011,country,20,8,0.4,country,1,country,1,0.2802840740419924,0.5394994616508484,"country,reggae,country,rock,rock,country,pop,pop,country,rock,country,country,jazz,reggae,reggae,reggae,reggae,reggae,country,country"
lstm,country__country.00013,country,20,0,0.0,rock,0,disco,0,0.4492659252136946,0.6674813032150269,"rock,rock,rock,rock,rock,rock,disco,disco,disco,rock,rock,rock,rock,rock,disco,disco,disco,disco,disco,disco"
lstm,country__country.00029,country,20,20,1.0,country,1,country,1,0.9138106077909469,0.9138105511665344,"country,country,country,country,country,country,country,country,country,country,country,country,country,country,country,country,country,country,country,country"
lstm,country__country.00047,country,20,20,1.0,country,1,country,1,0.8370632916688919,0.8370633125305176,"country,country,country,country,country,country,country,country,country,country,country,country,country,country,country,country,country,country,country,country"
lstm,country__country.00057,country,20,16,0.8,country,1,country,1,0.6762376954779029,0.7833824753761292,"rock,country,country,country,country,country,country,country,country,country,country,country,country,rock,rock,rock,country,country,country,country"
lstm,country__country.00059,country,20,15,0.75,country,1,country,1,0.6862901352345944,0.8294382095336914,"country,rock,rock,rock,rock,country,country,country,country,country,country,country,blues,country,country,country,country,country,country,country"
lstm,country__country.00067,country,20,16,0.8,country,1,country,1,0.6329951127059757,0.7724307775497437,"country,country,blues,rock,country,country,country,country,country,country,country,country,country,country,country,country,country,country,blues,blues"
lstm,country__country.00068,country,20,12,0.6,country,1,country,1,0.4476474729366601,0.6754015684127808,"country,rock,rock,country,country,country,country,country,country,blues,blues,country,country,country,jazz,country,country,rock,rock,rock"
lstm,country__country.00069,country,20,18,0.9,country,1,country,1,0.67175752222538,0.7207798957824707,"classical,classical,country,country,country,country,country,country,country,country,country,country,country,country,country,country,country,country,country,country"
lstm,country__country.00075,country,20,6,0.3,blues,0,blues,0,0.34107782333157954,0.6962445974349976,"rock,rock,rock,blues,blues,country,country,blues,blues,rock,blues,blues,country,country,blues,rock,rock,rock,country,country"
lstm,country__country.00076,country,20,11,0.55,country,1,country,1,0.46789934516418724,0.7819826602935791,"country,country,country,country,country,country,rock,country,country,country,rock,country,country,rock,rock,blues,blues,blues,blues,reggae"
lstm,country__country.00077,country,20,10,0.5,country,1,country,1,0.5346615806221962,0.6600673794746399,"country,rock,rock,country,rock,country,country,country,country,rock,rock,rock,rock,rock,rock,rock,country,country,country,country"
lstm,country__country.00097,country,20,20,1.0,country,1,country,1,0.9322069525718689,0.9322069883346558,"country,country,country,country,country,country,country,country,country,country,country,country,country,country,country,country,country,country,country,country"
lstm,country__country.00099,country,20,9,0.45,blues,0,blues,0,0.44561310024000705,0.7243519425392151,"blues,blues,rock,country,country,rock,country,country,blues,blues,country,country,blues,country,country,country,blues,blues,blues,blues"
lstm,disco__disco.00000,disco,20,18,0.9,disco,1,disco,1,0.8271168507635593,0.8634558916091919,"disco,disco,disco,disco,disco,disco,disco,disco,disco,disco,disco,disco,rock,rock,disco,disco,disco,disco,disco,disco"
lstm,disco__disco.00003,disco,20,16,0.8,disco,1,disco,1,0.6812745257280767,0.7781978845596313,"rock,rock,rock,country,disco,disco,disco,disco,disco,disco,disco,disco,disco,disco,disco,disco,disco,disco,disco,disco"
lstm,disco__disco.00010,disco,20,14,0.7,disco,1,disco,1,0.5664187194779515,0.6501530408859253,"pop,pop,pop,disco,disco,disco,disco,disco,disco,disco,disco,disco,disco,disco,disco,disco,disco,rock,hiphop,hiphop"
lstm,disco__disco.00020,disco,20,0,0.0,reggae,0,country,0,0.33785897586494684,0.6190764904022217,"reggae,country,country,country,country,rock,rock,rock,rock,rock,reggae,reggae,reggae,reggae,country,reggae,country,country,reggae,reggae"
lstm,disco__disco.00021,disco,20,16,0.8,disco,1,disco,1,0.6870846178382635,0.7974104881286621,"rock,disco,disco,disco,disco,disco,disco,disco,disco,disco,disco,disco,disco,disco,disco,disco,pop,disco,pop,pop"
