backbone,width_mult,depth,param_count,test_segment_acc,test_segment_f1,test_song_acc,test_song_f1
basic_cnn,0.75,1,530195,0.7808,0.7701,0.8705,0.8668
basic_cnn,0.75,2,857507,0.7502,0.7454,0.8129,0.8145
basic_cnn,0.75,3,1184819,0.6836,0.6846,0.7698,0.7872
basic_cnn,1.0,1,835851,0.7534,0.7557,0.8345,0.8359
basic_cnn,1.0,2,1417419,0.6847,0.6787,0.777,0.7701
basic_cnn,1.0,3,1998987,0.7459,0.7522,0.8058,0.8201
basic_cnn,1.25,1,1223299,0.7574,0.745,0.8561,0.8565
basic_cnn,1.25,2,2131699,0.6883,0.6917,0.7698,0.7881
basic_cnn,1.25,3,3040099,0.7117,0.6871,0.777,0.7433
resnet,0.75,1,665459,0.6681,0.6594,0.7554,0.7572
resnet,0.75,2,1060403,0.7595,0.762,0.8273,0.841
resnet,0.75,3,1455347,0.7293,0.7212,0.7914,0.7868
resnet,1.0,1,1076107,0.6742,0.6811,0.7266,0.7463
resnet,1.0,2,1777803,0.7376,0.7203,0.8058,0.7934
resnet,1.0,3,2479499,0.8063,0.8121,0.8705,0.8798
resnet,1.25,1,1598499,0.7347,0.7225,0.7842,0.7771
resnet,1.25,2,2694499,0.7336,0.7242,0.7986,0.7885
resnet,1.25,3,3790499,0.7329,0.7332,0.7986,0.8133
