model_key,model,embedding,num_samples,dim,classifier_acc_on_selected,silhouette_score,mean_intra_class_distance,mean_inter_class_centroid_distance,inter_over_intra,mse_to_full_clean_z,cosine_to_full_clean_z
original_conformer,Original,full_clean_z,1000,128,0.799,0.3802473545074463,5.62149863243103,13.274242454104954,2.3613351744896676,0.0,1.0
original_conformer,Original,full_noisy_z_t,1000,128,0.794,0.15712837874889374,6.152328157424927,7.3778558678097195,1.1991973898378236,0.40464743971824646,0.7757933139801025
original_conformer,Original,full_denoised_z_hat,1000,128,0.795,0.4040448069572449,4.565337824821472,11.770553716023763,2.578243750556193,0.09201496839523315,0.9584451913833618
cnn,CNN,full_clean_z,1000,128,0.736,0.21543468534946442,7.31045184135437,11.814316018422444,1.6160856093176406,0.0,1.0
cnn,CNN,full_noisy_z_t,1000,128,0.735,0.08652642369270325,6.5776183128356935,6.479325151443481,0.9850564206195424,0.4101373851299286,0.7754549980163574
cnn,CNN,full_denoised_z_hat,1000,128,0.723,0.2728404700756073,5.129333782196045,10.865255112118192,2.118258544575822,0.26538652181625366,0.8606688380241394
resnet,ResNet,full_clean_z,1000,128,0.802,0.33826953172683716,6.288792109489441,12.876212406158448,2.047485778187667,0.0,1.0
resnet,ResNet,full_noisy_z_t,1000,128,0.797,0.14521056413650513,6.325678396224975,7.123483679029676,1.1261216952288964,0.40863823890686035,0.7762985825538635
resnet,ResNet,full_denoised_z_hat,1000,128,0.794,0.4097314178943634,4.349852836132049,11.602847883436414,2.6674115931135343,0.1767856776714325,0.909332275390625
lstm,LSTM,full_clean_z,1000,128,0.738,0.2308792918920517,7.375138425827027,11.675001589457194,1.583021350293909,0.0,1.0
lstm,LSTM,full_noisy_z_t,1000,128,0.74,0.10322394967079163,6.593889427185059,6.496688392427233,0.985258922547732,0.4059544801712036,0.774931013584137
lstm,LSTM,full_denoised_z_hat,1000,128,0.747,0.2907879650592804,5.103382658958435,10.666913032531738,2.09016523850257,0.2672107517719269,0.8526532053947449
rnn,RNN,full_clean_z,1000,128,0.758,0.23533575236797333,7.116209650039673,12.080051178402371,1.6975400912106382,0.0,1.0
rnn,RNN,full_noisy_z_t,1000,128,0.75,0.10081567615270615,6.523387050628662,6.699939176771376,1.027064487324219,0.4076102375984192,0.7774053812026978
rnn,RNN,full_denoised_z_hat,1000,128,0.754,0.2864561080932617,5.1551042079925535,11.017348808712429,2.13717286095419,0.24201245605945587,0.8716238141059875
mlp,MLP,full_clean_z,1000,128,0.759,0.31954601407051086,6.356440830230713,12.649366558922662,1.9900077569767203,0.0,1.0
mlp,MLP,full_noisy_z_t,1000,128,0.756,0.13431814312934875,6.317090272903442,6.957410457399156,1.1013631524694694,0.40856122970581055,0.7731356024742126
mlp,MLP,full_denoised_z_hat,1000,128,0.756,0.35315078496932983,4.798370027542115,11.349467213948568,2.365275530816481,0.14076150953769684,0.9293919205665588
transformer,Transformer,full_clean_z,1000,128,0.776,0.3133615255355835,6.436836838722229,12.645600053999159,1.964567437522531,0.0,1.0
transformer,Transformer,full_noisy_z_t,1000,128,0.771,0.13203690946102142,6.356079912185669,6.968244356579251,1.096311634348706,0.40796858072280884,0.7758738994598389
transformer,Transformer,full_denoised_z_hat,1000,128,0.767,0.3521322011947632,4.874133348464966,11.228819232516818,2.3037570845395856,0.1323307752609253,0.9365907311439514
