"group","backbone","test_segment_acc","test_segment_f1","test_song_acc","test_song_f1"
"previous_3_each","mlp_d2_h128","0.7235","0.7207","0.78","0.7801"
"previous_3_each","mlp_d3_h192","0.7308","0.7248","0.7867","0.7837"
"previous_3_each","mlp_d4_h256","0.7211","0.7196","0.8067","0.8034"
"previous_3_each","rnn_h64_l1","0.6438","0.6426","0.7067","0.7038"
"previous_3_each","rnn_h96_l2","0.7178","0.7086","0.8067","0.7919"
"previous_3_each","rnn_h128_l3","0.6865","0.6977","0.7333","0.7469"
"new_5_each","mlp_d2_h96","0.6564","0.6408","0.7","0.6757"
"new_5_each","mlp_d2_h160","0.6391","0.5927","0.68","0.6261"
"new_5_each","mlp_d3_h128","0.7175","0.7134","0.7667","0.7595"
"new_5_each","mlp_d3_h256","0.6801","0.6593","0.7667","0.748"
"new_5_each","mlp_d5_h192","0.7215","0.7156","0.8133","0.809"
"new_5_each","rnn_h80_l1","0.7605","0.7627","0.8267","0.8284"
"new_5_each","rnn_h80_l2","0.7195","0.7114","0.7867","0.7735"
"new_5_each","rnn_h112_l2","0.7035","0.7048","0.7733","0.7674"
"new_5_each","rnn_h160_l2","0.7238","0.7094","0.8","0.7926"
"new_5_each","rnn_h96_l3","0.7438","0.7442","0.8267","0.8266"
