model,mode,seed,param_tag,use_denoising,status,epochs_planned,epochs_completed,out_dir
cnn,full_dn,82,cnn_w0p75_d1,True,available,60,37,runs/full_dn/cnn_cnn_w0p75_d1_full_dn_60ep_s82
cnn,no_dn,82,cnn_w0p75_d1,False,available,60,39,runs/no_dn/cnn_cnn_w0p75_d1_no_dn_60ep_s82
resnet,full_dn,82,resnet_w1p0_d3,True,available,60,60,runs/full_dn/resnet_resnet_w1p0_d3_full_dn_60ep_s82
resnet,no_dn,82,resnet_w1p0_d3,False,available,60,32,runs/no_dn/resnet_resnet_w1p0_d3_no_dn_60ep_s82
lstm,full_dn,82,lstm_hidden64_layers1_dropout0,True,available,60,38,runs/full_dn/lstm_lstm_hidden64_layers1_dropout0_full_dn_60ep_s82
lstm,no_dn,82,lstm_hidden64_layers1_dropout0,False,available,60,29,runs/no_dn/lstm_lstm_hidden64_layers1_dropout0_no_dn_60ep_s82
rnn,full_dn,82,rnn_h80_l1,True,available,60,32,runs/full_dn/rnn_rnn_h80_l1_full_dn_60ep_s82
rnn,no_dn,82,rnn_h80_l1,False,available,60,57,runs/no_dn/rnn_rnn_h80_l1_no_dn_60ep_s82
mlp,full_dn,82,mlp_d5_h192,True,available,60,60,runs/full_dn/mlp_mlp_d5_h192_full_dn_60ep_s82
mlp,no_dn,82,mlp_d5_h192,False,available,60,44,runs/no_dn/mlp_mlp_d5_h192_no_dn_60ep_s82
transformer,full_dn,82,tf_small_w0p5_d1,True,available,60,29,runs/full_dn/transformer_tf_small_w0p5_d1_full_dn_60ep_s82
transformer,no_dn,82,tf_small_w0p5_d1,False,available,60,31,runs/no_dn/transformer_tf_small_w0p5_d1_no_dn_60ep_s82
