model,mode,seed,param_tag,use_denoising,epochs_planned,epochs_completed,best_val_segment_epoch,best_val_segment_acc,best_val_segment_macro_f1,best_val_song_epoch,best_val_song_acc,best_val_song_macro_f1,final_val_segment_acc,final_val_song_acc,test_segment_acc,test_segment_macro_f1,test_song_acc,test_song_macro_f1,temperature,num_segments,num_songs,out_dir
cnn,full_dn,82,cnn_w0p75_d1,True,60,37,35,0.8477970627503337,0.8465830683400559,22,0.9133333333333333,0.9140969463424969,0.821762349799733,0.8866666666666667,0.7527527527527528,0.7514892535469754,0.8333333333333334,0.834677650714236,1.1,2997,150,runs/full_dn/cnn_cnn_w0p75_d1_full_dn_60ep_s82
cnn,no_dn,82,cnn_w0p75_d1,False,60,39,24,0.8247663551401869,0.8232765898657947,24,0.9066666666666666,0.9057090677418819,0.8234312416555407,0.8866666666666667,0.7724391057724391,0.7779087554072249,0.8533333333333334,0.8563375112126176,1.15,2997,150,runs/no_dn/cnn_cnn_w0p75_d1_no_dn_60ep_s82
resnet,full_dn,82,resnet_w1p0_d3,True,60,60,57,0.855807743658211,0.8540029018454905,60,0.9333333333333333,0.9327382989646618,0.852803738317757,0.9333333333333333,0.8114781448114782,0.8122949868995646,0.8933333333333333,0.8926757294429708,1.05,2997,150,runs/full_dn/resnet_resnet_w1p0_d3_full_dn_60ep_s82
resnet,no_dn,82,resnet_w1p0_d3,False,60,32,17,0.8170894526034713,0.8140923895182537,17,0.88,0.8789271809947561,0.8147530040053405,0.88,0.7774441107774441,0.7750016052938704,0.84,0.8391714223714691,1.15,2997,150,runs/no_dn/resnet_resnet_w1p0_d3_no_dn_60ep_s82
lstm,full_dn,82,lstm_hidden64_layers1_dropout0,True,60,38,35,0.8240987983978638,0.8251093708932686,23,0.8733333333333333,0.872991956315911,0.7797062750333779,0.8466666666666667,0.7400734067400734,0.7358843007900033,0.82,0.8190313127732484,1.2000000000000002,2997,150,runs/full_dn/lstm_lstm_hidden64_layers1_dropout0_full_dn_60ep_s82
lstm,no_dn,82,lstm_hidden64_layers1_dropout0,False,60,29,27,0.7937249666221629,0.7932211920581905,14,0.8733333333333333,0.8738194385024196,0.7753671562082777,0.8266666666666667,0.7290623957290624,0.7332230550472068,0.8,0.8003577605190507,1.15,2997,150,runs/no_dn/lstm_lstm_hidden64_layers1_dropout0_no_dn_60ep_s82
rnn,full_dn,82,rnn_h80_l1,True,60,32,32,0.8067423230974633,0.8062487777315301,17,0.8733333333333333,0.87595003254486,0.8067423230974633,0.8733333333333333,0.730397063730397,0.7339195994647435,0.78,0.7833959053516731,1.15,2997,150,runs/full_dn/rnn_rnn_h80_l1_full_dn_60ep_s82
rnn,no_dn,82,rnn_h80_l1,False,60,57,42,0.8294392523364486,0.8279545093070857,42,0.8933333333333333,0.8932537436554154,0.8237650200267023,0.8866666666666667,0.7754421087754421,0.7783399452249998,0.86,0.8602199644997197,1.15,2997,150,runs/no_dn/rnn_rnn_h80_l1_no_dn_60ep_s82
mlp,full_dn,82,mlp_d5_h192,True,60,60,58,0.8467957276368492,0.8456887473863567,48,0.9266666666666666,0.9272464775676678,0.8441255006675568,0.9066666666666666,0.7854521187854521,0.7917716409062583,0.8466666666666667,0.8499391565979442,1.15,2997,150,runs/full_dn/mlp_mlp_d5_h192_full_dn_60ep_s82
mlp,no_dn,82,mlp_d5_h192,False,60,44,37,0.835781041388518,0.8342619364917312,29,0.9133333333333333,0.9141581374687602,0.8117489986648865,0.86,0.7701034367701034,0.7764197584132686,0.86,0.8634833530495378,1.2000000000000002,2997,150,runs/no_dn/mlp_mlp_d5_h192_no_dn_60ep_s82
transformer,full_dn,82,tf_small_w0p5_d1,True,60,29,25,0.8000667556742324,0.7955187422833561,14,0.84,0.8378056219004495,0.777369826435247,0.8,0.6776776776776777,0.6634284335382145,0.7466666666666667,0.7265420643029751,1.1,2997,150,runs/full_dn/transformer_tf_small_w0p5_d1_full_dn_60ep_s82
transformer,no_dn,82,tf_small_w0p5_d1,False,60,31,27,0.7947263017356475,0.7916209631098102,16,0.8733333333333333,0.8731569595793734,0.7566755674232309,0.7933333333333333,0.7514180847514181,0.7490233973286105,0.8066666666666666,0.8054688322430257,1.15,2997,150,runs/no_dn/transformer_tf_small_w0p5_d1_no_dn_60ep_s82
